Type,Name,Display Name,Bin Number,Location,On Hand
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",PG2042B,Ogden Manufacturing,64
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",PG1051C,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",B4373A,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",B4383B,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",CS Warehouse,Customer Support,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",B4381B,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101078-000,"SEAL, HT GLASS 750C ROPE, 116 mm ID",B4434B,Ogden Manufacturing,300
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",CS Warehouse,Customer Support,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",PG1051E,Ogden Manufacturing,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",B4382B,Ogden Manufacturing,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",PG2042C,Ogden Manufacturing,98
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",B4434B,Ogden Manufacturing,300
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",B4381B,Ogden Manufacturing,55
Inventory Item,1500-101079-000,"SEAL, HT GLASS 750C ROPE, 266 mm ID",B4383B,Ogden Manufacturing,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",B4383B,Ogden Manufacturing,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",Calgary - Canada,Calgary Warehouse,4
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",PG1052C,Ogden Manufacturing,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",CS Warehouse,Customer Support,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",B4434B,Ogden Manufacturing,300
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",PG2042D,Ogden Manufacturing,91
Inventory Item,1500-101081-000,"SEAL, BURNER, SS REINFORCED GRAPHITE, 2mm",PG2043C,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CS12G,Customer Support,1
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CAE Location BIN,CAE Warehouse,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Finish Goods,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",5 YEAR KIT,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",B4361A,Ogden Manufacturing,200
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",PG120,Ogden Manufacturing,194
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CS-2 (Nate S),Customer Support,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Pennsylvania Warehou,Customer Support,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",TX Warehouse,Texas Warehouse,26
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",PA Warehouse,Pennsylvania Warehouse,71
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Robert Garcia,Customer Support,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CS-1 (Matt J),Customer Support,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CS-3 (Brandon C),Customer Support,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",CS Warehouse,Customer Support,353
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",Calgary - Canada,Calgary Warehouse,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",B4262B,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",B4371A,Ogden Manufacturing,0
Inventory Item,1500-101083-000,"GASKET, BURNER ELECTRODE, SMARTGEN",B4181B,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",PA Warehouse,Pennsylvania Warehouse,1
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4023A,Ogden Manufacturing,200
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4023B,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4431B,Ogden Manufacturing,28
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",CS Warehouse,Customer Support,3
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",Customer Rebuilt,Customer Rebuilds,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",Overflow Inventor B3,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4281A,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4274A,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",Finish Goods,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",PG1053B,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",Receiving Dock,Ogden Manufacturing,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",TX Warehouse,Texas Warehouse,1
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",B4281A,Bay 4 Bulk Storage,0
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",PG2044D,Ogden Manufacturing,19
Inventory Item,1500-101098-000,"SEAL, CAVITY BURNER, OMEGA, FKM",5 YEAR KIT,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",Racks-Bay 1,Ogden Manufacturing,0
Inventory Item,1500-101101-000,"MOUNT, BURNER SUPPORT, SMARTGEN",B4442A,Ogden Manufacturing,0
