QTY;MPN;Part
54;06033C104JAT2A;CAP 100nF 25V 0603(1608)
14;EMK107BJ225KA-T;CAP 2.2uF 16V 0603(1608)
3;885012206059;CAP 1nF 25V 0603(1608)
4;CKCL44X7R1E103M085AA;CKCL44X7R1E103M085AA
2;C1608C0G1H103J080AA;CAP 10nF 50V 0603(1608)
2;C0603C100J5GACTU;CAP 10pF 50V 0603(1608)
1;C0603C472J5RACTU;CAP 4.7nF 50V 0603(1608)
8;C0805C475K3PACTU;CAP 4.7uF 25V 0805(2012)
3;C0805C475K8PACTU;CAP 4.7uF 10V 0805(2012)
1;UMK316B7225KL-T;2.2uF
1;UMK316AB7475KL-T;4.7uF
1;C0603C104K5RACTU;CAP 100nF 50V 0603(1608)
2;C0603C330J5GACTU;CAP 33pF 50V 0603(1608)
4;GRM188C81C106MA73D;CAP 10uF 10V 0603(1608)
2;C0603C101J5GACTU;CAP 100pF 50V 0603(1608)
5;C0603C103J3RACTU;CAP 10nF 25V 0603(1608)
10;C0603C105K4PACTU;CAP 1uF 16V 0603(1608)
1;06035A470JAT2A;CAP 47pF 50V 0603(1608)
2;CC0805KKX5R5BB106;CAP 10uF 6.3V 0805(2012)
1;CC0805KKX7R8BB105;CAP 1uF 25V 0805(2012)
2;GRT31CR61H106ME01L;CAP 10uF 50V 1206(3216)
2;C1206C476M8PACTU;CAP 47uF 10V 1206(3216)
1;C0805C474K5RACTU;CAP 470nF 50V 0805(2012)
1;06033C473KAT2A;CAP 47nF 25V 0603(1608)
1;GRM1885C2A331JA01D;CAP 330pF 100V 0603(1608)
1;C0603C105K8PACTU;CAP 1uF 10V 0603(1608)
1;0603YD225MAT2A;CAP 2.2uF 16V 0603(1608)
2;C1206C222KCRACTU;CAP 2.2nF 500V 1206(3216)
1;06035C103KAT2A;CAP 10nF 50V 0603(1608)
2;C1608X7R1E224M080AC;CAP 220nF 25V 0603(1608)
2;LTST-C190KGKT;LTST-C190KGKT
1;LTST-C190KRKT;LTST-C190KRKT
1;D1213A-02SR-7;D1213A-02SR-7
1;PMEG6010CEH,115;PMEG6010CEH,115
5;BAT54JFILM;BAT54JFILM
6;BAT43WS;BAT43WS
19;BAT54SWT1G;BAT54SWT1G
2;MM3Z12VST1G;MM3Z12VST1G
1;NSI45015WT1G;NSI45015WT1G
1;LTST-C190KSKT;LTST-C190KSKT
4;MM3Z5V6ST1G;MM3Z5V6ST1G
1;BAT64-04W;BAT64-04W
1;0213002.MXP;0213002.MXP
2;02133.15MXP;02133.15MXP
6;BLM31PG601SN1L;BLM31PG601SN1L
1;BLM18BA121SN1D;BLM18BA121SN1D
6;01110501Z;01110501Z
4;G6DN-1A DC5;G6DN-1A DC5
2;MLP2016S2R2MT0S1;MLP2016S2R2MT0S1
1;SRN1060-470M;SRN1060-470M
1;SDR0403-220ML;SDR0403-220ML
2;SRN4026-6R8M;SRN4026-6R8M
1;39-30-2040;39-30-2040
1;39-29-9067;39-29-9067
1;39-28-8020;39-28-8020
2;39-30-2030;39-30-2030
2;39501-1005;39501-1005
1;39-29-9047;39-29-9047
1;55917-1610;55917-1610
1;55917-0810;55917-0810
1;55917-1010;55917-1010
1;55932-0210;55932-0210
1;55932-0510;55932-0510
1;SI-46001-F;SI-46001-F
2;M20-9990246;M20-9990246
2;39500-0005;39500-0005
1;55932-0410;55932-0410
14;BSS138LT3G;BSS138LT3G
3;Si2333DDS;Si2333DDS
1;IRLML0060TRPbF;IRLML0060TRPbF
3;RC0603FR-07100RL;100R 1%
5;RC0603FR-07665RL;665R 1%
2;EXB-2HV221JV;EXB-2HV221JV
2;RC0603FR-0720RL;20R 1%
42;RC0603FR-0710KL;10K 1%
1;EXB-28V222JX;EXB-28V222JX
11;ERJ-3EKF2001V;2K 1%
2;ERJ-6ENF60R4V;60R4 1%
12;RC0603FR-0720KL;20K 1%
1;RC0603FR-07243KL;243K
1;RC0603FR-0710KL;10K
4;RC0603FR-0749R9L;49R9 1%
3;RC0603FR-074K7L;4K7 1%
1;ERJ-3EKF2321V;2K32 1%
2;RC0603FR-0712KL;12K 1%
14;RC0603FR-071KL;1K 1%
3;RC0603FR-07100KL;100K 1%
2;RC0603FR-0751KL;51K 1%
2;RC0603FR-07200KL;200K 1%
16;RC0603FR-07301KL;301K
8;ERJ-3EKF3601V;3K6
7;RC0603FR-0747RL;47R
1;EXB-2HV100JV;EXB-2HV100JV
1;ERJ-3EKF8200V;820R
1;RC0805FR-076K04L;6K04 1%
4;RC0603FR-0724KL;24K 1%
4;RC0603FR-073K3L;3K3 0.1%
2;RC0603FR-072K8L;2K8 1%
2;RC0603FR-07150RL;150R 1%
1;ERJ-6GEYJ221V;220R 5%
2;ERJ-12ZYJ102U;1K 5%
1;RC0603FR-0724K9L;24K9 1%
1;KMR421G LFS;KMR421G LFS
1;TMS320F28069PZT;TMS320F28069PZT
1;W25Q16JVZPIQ;W25Q16JVZPIQ
1;25AA02E48T-I/OT;25AA02E48T-I/OT
1;ISO1050DUBR;ISO1050DUBR
1;ROE-0505S;ROE-0505S
1;OPA170AIDBVT;OPA170AIDBVT
1;TLV61046ADBVR;TLV61046ADBVR
1;LPS25HBTR;LPS25HBTR
1;N01S830HAT22I;N01S830HAT22I
1;ENC28J60T-I/SS;ENC28J60T-I/SS
3;LMV771MG/NOPB;LMV771MG/NOPB
2;MOC207M;MOC207M
2;SN74AUP2G08DCUR;SN74AUP2G08DCUR
2;REF3033AIDBZR;REF3033AIDBZR
2;AD8630ARUZ;AD8630ARUZ
1;TPS2051C;TPS2051C
1;ADS1118IRUGR;ADS1118IRUGR
2;MOCD207M;MOCD207M
1;ISO7221ADR;ISO7221ADR
1;TC77-3.3MCTTR;TC77-3.3MCTTR
2;LM3671MF-3.3/NOPB;LM3671MF-3.3/NOPB
1;LM46001PWPT;LM46001PWPT
1;TSX-3225 20.0000MF20G-AC3;TSX-3225 20.0000MF20G-AC3
1;7M-25.000MAAJ-T;7M-25.000MAAJ-T
