MPN;QTY
CC0603KRX7R5BB225;6
CL10B104KB8NNWC;53
CL10B475KQ8NQNC;4
CL10B105KA8NNNC;27
C3225X7R1C226K250AC;2
CL31B106KBHNNNE;1
GRM1885C1H100JA01D;1
CL21B475KOFNNNE;3
GRM31CR71H475KA12L;1
C0603X103M5RACAUTO;11
0603N100J500CT;4
GRM1885C1H101JA01D;3
C0603C102K5RACAUTO7411;9
UMK107B7474KA-TR;1
C0603C471K5RACTU;4
CC0603JRNPO9BN101;2
LTST-C190KGKT;6
LTST-C190KRKT;5
BAT54A,215;1
BAT54SW-7-F;27
MM3Z3V9T1G;1
SZMM3Z5V6ST1G;2
SMBJ36A;1
1760490000;1
BLM18PG331SN1D;1
MH1608-601Y;3
CMP-046-000000-1;1
UE27AE54100;1
43045-0612;2
39-29-9023;1
691241510005;1
43650-0327;1
39-30-1039;3
39-30-2040;2
39-28-1043;1
39880-0302;1
G6DN-1A DC5;5
1255AY-330M=P3;1
MLZ2012N220LT000;1
J1B1211CCD;3
55932-0210;6
55932-0310;3
55932-0410;1
39-28-1063;1
46207-0106;2
RU1J002YNTCL;18
SSM3J351R,LF;4
SI2333DDS-T1-GE3;1
FOD817BSD;2
EXB-38V681JV;1
RNCF0603TKY10K0;40
ERJ-3EKF4023V;1
ERJ-3EKF8252V;1
ERJ-3EKF2873V;1
SFR03EZPJ200;1
ERJ3EKF49R9V;12
TNPW060312K4BEEN;2
SFR03EZPF2201;16
MCT06030D3301BP100;9
AC0603JR-101KL;14
SFR03EZPJ203;11
RMCF0603JT1M00;1
RG1608P-4992-B-T5;1
SFR03EZPF47R0;1
SFR03EZPF1241;2
EXB-38V100JV;1
EXB-38V682JV;1
EXB-38V103JV;1
ERJ-8GEYJ471V;8
RT0603DRE10100KL;2
ERJ-3EKF4753V;1
ERJ-3EKF8251V;1
SFR03EZPF1200;1
ERJ-3EKF3300V;1
RMCF0805FT60R4;2
434123025826;1
KSZ8794CNXCC;1
STM32F746ZGT6;1
W25Q64JVSSIQ;1
M95M01-RMN6P;1
TPS2049DR;2
NUF2101MT1G;1
L6982CDR;1
AP61100Z6-7;1
REF3033AIDBZR;1
TLV61046ADBVR;1
ST3485EBDR;2
74LVC1G157GW,125;1
ST3232BTR;1
MIC5504-1.2YM5-TR;1
TLV2314IDGKT;1
MAX31855KASA+;1
MAX14906ATM+;1
MCP6V31T-E/OT;1
TL317PSR;1
NL27WZ08USG;1
TJA1044GTK/3Z;1
696106003002;1
XRCGB25M000FAM10R0;1
ECS-200-8-33Q-RES-TR;1
